Species	Subject	Sex	Session	Session_cont	Trial	Phase	Condition	con2	food_level	Success	Number_of_turns	Latency	Comment
small-clawed otters	James	m	4	8	16	6	Occluded	Occluded	extra high	0	3	120	
small-clawed otters	Blacky	m	4	8	13	6	Occluded	Occluded	extra high	0	2	120	
small-clawed otters	Blacky	m	4	8	14	6	Occluded	Occluded	extra high	0	9	120	
small-clawed otters	Blacky	m	4	8	15	6	Occluded	Occluded	extra high	0	5	120	
small-clawed otters	Blacky	m	4	8	16	6	Occluded	Occluded	extra high	0	4	120	
small-clawed otters	Twoface	m	4	8	13	6	Occluded	Occluded	extra high	0	1	120	
small-clawed otters	Twoface	m	4	8	14	6	Occluded	Occluded	extra high	0	5	120	
small-clawed otters	Twoface	m	4	8	15	6	Occluded	Occluded	extra high	0	2	120	
small-clawed otters	Twoface	m	4	8	16	6	Occluded	Occluded	extra high	0	0	120	
small-clawed otters	Rudi	m	4	8	13	6	Occluded	Occluded	extra high	0	21	120	
small-clawed otters	Rudi	m	4	8	14	6	Occluded	Occluded	extra high	0	18	120	
small-clawed otters	Rudi	m	4	8	15	6	Occluded	Occluded	extra high	0	21	120	
small-clawed otters	Rudi	m	4	8	16	6	Occluded	Occluded	extra high	0	8	120	
small-clawed otters	Rudi	m	1	9	1	7	repeat_response_window_large	response_window_large	extra high	0	0	120	
small-clawed otters	Rudi	m	1	9	2	7	repeat_response_window_large	response_window_large	extra high	0	0	120	
small-clawed otters	Rudi	m	1	9	3	7	repeat_response_window_large	response_window_large	extra high	0	0	120	
small-clawed otters	Rudi	m	1	9	4	7	repeat_response_window_large	response_window_large	extra high	0	0	120	
small-clawed otters	Blacky	m	1	9	1	7	repeat_response_window_large	response_window_large	extra high	0	1	120	
small-clawed otters	Blacky	m	1	9	2	7	repeat_response_window_large	response_window_large	extra high	0	0	120	
small-clawed otters	Blacky	m	1	9	3	7	repeat_response_window_large	response_window_large	extra high	1	3	34	
small-clawed otters	Blacky	m	1	9	4	7	repeat_response_window_large	response_window_large	extra high	1	1	20	
small-clawed otters	Twoface	m	1	9	1	7	repeat_response_window_large	response_window_large	extra high	0	0	120	
small-clawed otters	Twoface	m	1	9	2	7	repeat_response_window_large	response_window_large	extra high	0	1	120	
small-clawed otters	Twoface	m	1	9	3	7	repeat_response_window_large	response_window_large	extra high	1	1	95	
small-clawed otters	Twoface	m	1	9	4	7	repeat_response_window_large	response_window_large	extra high	1	2	105	
small-clawed otters	James	m	1	9	1	7	repeat_response_window_large	response_window_large	extra high	1	2	51	
small-clawed otters	James	m	1	9	2	7	repeat_response_window_large	response_window_large	extra high	1	1	21	
small-clawed otters	James	m	1	9	3	7	repeat_response_window_large	response_window_large	extra high	1	1	11	
small-clawed otters	James	m	1	9	4	7	repeat_response_window_large	response_window_large	extra high	1	2	77	
